language,algorithm,size,count,mean,std,cv_pct
javascript,merge_sort,small,50,0.01210955182765605,0.014854041399485386,122.66384099832179
c,summation,mid,50,0.0041086100384126875,0.002679154159637655,65.20828539553281
c,summation,small,50,0.004357233021059028,0.002732945437391502,62.722039977730134
go,bfs,mid,50,0.04646476614277339,0.029115856543621862,62.66222551116878
java,binary_search,mid,50,0.010685905415331891,0.006444144629493964,60.305087674162394
rust,hash_table,mid,50,0.006723665710189324,0.00404987792961486,60.233183863937576
python,binary_search,small,50,0.004910195158910892,0.00290375224759669,59.1372064372439
rust,binary_search,large,50,0.0030897241090423783,0.0017384818662176836,56.26657283509059
c,bfs,small,50,0.0033359479079953843,0.0018691214831928298,56.02969634846636
go,binary_search,mid,50,0.004758862216782244,0.0026641265103156514,55.982425818519054
rust,hash_table,small,50,0.003338361321832008,0.001868064206516495,55.957520065304045
go,merge_sort,small,50,0.0050479641098645,0.0027826981713113623,55.12515760311254
rust,binary_search,small,50,0.0033414211660273817,0.001780900715946255,53.297702607886734
python,bfs,small,50,0.013977740650094298,0.007327932440601101,52.42572905050763
rust,matrix_multiplication,mid,50,0.08284921382495664,0.04321597682409333,52.16220508187297
rust,merge_sort,small,50,0.003492945992154956,0.0018114012580264368,51.85883956106924
go,bfs,small,50,0.00586003740917653,0.003025528826155366,51.629855151053086
c,hash_table,small,50,0.0029958391962572415,0.0015429730703365812,51.50386817370727
go,hash_table,small,50,0.004558110709476702,0.0023437499205953348,51.419328532816856
go,summation,mid,50,0.005065488441032308,0.002601705508489038,51.36139463697661
go,hash_table,mid,50,0.01145442398480368,0.005867978110256415,51.228923584820386
go,binary_search,large,50,0.004897385208227154,0.0024739194687285514,50.515108849771416
rust,bfs,small,50,0.00384088144253469,0.0019346873817911053,50.37092164225613
rust,binary_search,mid,50,0.004253549290588074,0.002130517533425102,50.087994469450415
rust,summation,small,50,0.003483080884849138,0.0017369253220848996,49.86749890421022
python,binary_search,mid,50,0.00352325579879102,0.0017521279317097229,49.73036395231232
python,binary_search,large,50,0.00442279839544785,0.0021989700811165043,49.718976188916656
c,matrix_multiplication,small,50,0.004699062777508462,0.0023232697267151032,49.44112978943746
rust,hash_table,large,50,0.0415993767919717,0.020448323714860016,49.15536070916898
python,summation,mid,50,0.015472653981414581,0.007567565536856287,48.90929213531359
rust,matrix_multiplication,small,50,0.005263686422083937,0.0025452576147380235,48.355038857545296
c,binary_search,small,50,0.004394400141551112,0.0021097358299079477,48.00964322660122
rust,bfs,mid,50,0.016680433974513968,0.00799479085093264,47.92915378069827
java,summation,mid,50,0.009879326364200048,0.004653306970334295,47.10146014809871
java,merge_sort,mid,50,0.01826395231077909,0.00857124575638328,46.92985182251417
javascript,summation,small,50,0.008034982257580803,0.0037682580753009144,46.89815054346458
c,merge_sort,mid,50,0.008934433669812232,0.004175246434015223,46.732077133468394
go,merge_sort,mid,50,0.013388697179732796,0.006233462006623504,46.55764427967971
c,hash_table,large,50,0.03796454156390969,0.01762681694250657,46.42968469099911
javascript,hash_table,small,50,0.008317292598367155,0.0038551496494071444,46.351016317064335
c,binary_search,large,50,0.0026992149269207837,0.0012509647025260892,46.345501799412745
c,matrix_multiplication,mid,50,0.11132875732972748,0.05145629229403396,46.22012634312759
go,binary_search,small,50,0.0043879738789982595,0.0020046837894971688,45.68586424572843
go,summation,small,50,0.004236506603541734,0.0019286636287256776,45.524858314001165
python,summation,small,50,0.004418073519016568,0.0019994236496456664,45.25555405630108
go,hash_table,large,50,0.045107803961087434,0.020221785881940048,44.82990548461307
c,binary_search,mid,50,0.002880956419103264,0.0012902391171524927,44.78509666432569
java,hash_table,mid,50,0.013019722335593493,0.005823210132828559,44.72607005534203
java,hash_table,large,50,0.055801234338083254,0.02487054865314274,44.56988980290186
rust,summation,mid,50,0.00385826485179127,0.0017087931756248381,44.28916213026432
javascript,binary_search,mid,50,0.008347241628653093,0.0036788031355563773,44.07208152365403
java,summation,small,50,0.007806154886144164,0.0034258104147045997,43.88601641488531
javascript,matrix_multiplication,small,50,0.024046981316874688,0.010516078869400718,43.7313886962651
java,matrix_multiplication,small,50,0.00842507690569614,0.003625042987346663,43.026823706449434
c,merge_sort,small,50,0.003114570843579662,0.0013399882559259118,43.02320683082702
javascript,binary_search,small,50,0.007396003000700096,0.0031505861975289367,42.598498097292634
java,hash_table,small,50,0.009800360798049907,0.004134869628636705,42.19099392197346
java,bfs,mid,50,0.019450988148222638,0.008163297917341598,41.968551186884206
java,bfs,large,50,0.22646931819693414,0.0947848224947291,41.85327321571468
rust,merge_sort,mid,50,0.015057272900827178,0.0062180096730045245,41.29572276439869
java,binary_search,small,50,0.008571290224150244,0.003539320192632827,41.292735400098
c,hash_table,mid,50,0.006429815330426167,0.002637083089223878,41.013356584987534
java,bfs,small,50,0.010003554252034473,0.004070424568678298,40.68978351219993
javascript,hash_table,mid,50,0.04579377452936018,0.018372058648008123,40.11911845403588
python,merge_sort,small,50,0.006927811135654288,0.0027696769743705617,39.97910624491906
python,hash_table,small,50,0.005682258419168602,0.002180679528074621,38.37698617715606
java,binary_search,large,50,0.007235553600330562,0.0027414049256636475,37.88797757698049
java,merge_sort,small,50,0.008093952746246887,0.0030119944547995136,37.21289892872374
java,matrix_multiplication,mid,50,0.13046450194460335,0.048385032483194174,37.08674142161597
go,matrix_multiplication,small,50,0.017643430107564147,0.0064819704467638985,36.73872034658912
javascript,merge_sort,mid,50,0.033465507629211015,0.012243238075498512,36.58464772490636
javascript,bfs,small,50,0.008561217835638625,0.0031270139382040983,36.52534018217559
python,matrix_multiplication,small,50,0.24846409113460685,0.09032434256848951,36.353077080887225
javascript,binary_search,large,50,0.008153753018646914,0.002962542202484863,36.33347975723314
javascript,summation,large,50,0.04155765975441313,0.013484742374140426,32.448271759837105
python,hash_table,mid,50,0.20566117481217946,0.0662708291959,32.22330576319132
javascript,summation,mid,50,0.007030386435158967,0.00226331760752153,32.193359901280495
javascript,bfs,mid,50,0.04823475102387596,0.015501300521681385,32.13720438612468
c,bfs,mid,50,0.022824387965985765,0.006834579945437119,29.944198090316416
rust,summation,large,50,0.019435217769991096,0.005691278468068921,29.283327490451523
java,summation,large,50,0.02577561886858889,0.006873173157183476,26.66540497911915
go,summation,large,50,0.028653491468518,0.00757144504175077,26.424162130711455
c,bfs,large,50,0.247318449815968,0.06115324490559476,24.726519574701953
c,merge_sort,large,50,0.6297176540577493,0.15512803063202377,24.634537341047373
c,summation,large,50,0.02200663357769368,0.0054081256695430405,24.57497940541353
rust,bfs,large,50,0.22239282925266884,0.050517950159514394,22.715638057789647
javascript,matrix_multiplication,mid,50,0.3121444905895623,0.06613670858753334,21.18785068498815
go,matrix_multiplication,mid,50,0.29648111944587435,0.06139861961203681,20.709116225273075
rust,matrix_multiplication,large,50,2.1303821070108095,0.42217125519584103,19.81669174776349
javascript,hash_table,large,50,0.4612510252317879,0.08900878649146111,19.297254991841463
python,merge_sort,mid,50,0.31150976731770785,0.04718811488699028,15.14819753271597
go,merge_sort,large,50,1.0392460333819327,0.11434759788557701,11.002938112110474
go,bfs,large,50,0.5461124588119565,0.05946417700006692,10.888632192978825
python,summation,large,50,1.0035685133175867,0.10241534717527523,10.205117619395173
c,matrix_multiplication,large,50,2.528734718187363,0.2568824707351638,10.158537741724889
javascript,bfs,large,50,0.9508104653548216,0.08952053825593331,9.415182259539625
java,matrix_multiplication,large,50,4.509656595945533,0.4191717470926679,9.294981517429285
python,bfs,mid,50,0.8877782338592223,0.0817633879880215,9.20988878411576
python,hash_table,large,50,1.507898174217378,0.13586131174472582,9.009979192742234
rust,merge_sort,large,50,0.8418619252178469,0.07110758981598857,8.446467013885703
javascript,merge_sort,large,50,3.147571941008355,0.21861767163632892,6.94559729638118
python,merge_sort,large,50,83.67741108893507,5.8011879762785075,6.932800502291851
python,matrix_multiplication,large,50,559.9952886023556,38.58242329152947,6.889776410052314
go,matrix_multiplication,large,50,7.372314615594893,0.4824908377143137,6.54463167773233
java,merge_sort,large,50,0.8160860009778408,0.04804049074339746,5.886694623585622
javascript,matrix_multiplication,large,50,10.609192103453127,0.5999887484860826,5.655366993409381
python,bfs,large,50,33.38700477888287,1.7978838210699306,5.384980871980119
python,matrix_multiplication,mid,50,22.06994693162161,0.9707897102618521,4.398695263154048
